Row Labels,Appliances_Gross_Revenue,Appliances_Gross_Profit,Electronics_Gross_Revenue,Electronics_Gross_Profit,Total_Gross_Revenue,Total_Gross_Profit
Northeast,,,,,,
DC,,,,,,
Walmart Supercenter #122 - Washington,53799.44,15707.7,78296.5,22884.96,132095.94,38592.66
MA,,,,,,
Walmart Supercenter #125 - Boston,79515.51,22910.22,88942.59,25343.29,168458.1,48253.5
MD,,,,,,
Walmart Discount Store #130 - Baltimore,50883.15,13541.04,76433.46,25327.35,127316.61,38868.39
NY,,,,,,
Walmart Supercenter #101 - New York,57438.09,16098.21,62248.92,18005.76,119687.01,34103.98
PA,,,,,,
Walmart Supercenter #106 - Philadelphia,45201.42,12832.4,66878.39,18704.49,112079.81,31536.89
Midwest,552299.68,153441.5,695856.43,202614.04,1248156.11,356055.54
West,,,,,,
AZ,,,,,,
Walmart Supercenter #136 - Mesa,36811.96,10682.16,70375.47,18270.32,107187.43,28952.48
Walmart Neighborhood Market #133 - Tucson,44444.83,13684.9,60640.01,19608.53,105084.84,33293.43
Walmart Supercenter #105 - Phoenix,56852.35,15969.37,60120.95,15470.76,116973.3,31440.13
CA,,,,,,
Walmart Discount Store #144 - Oakland,36421.95,9757.11,65873.25,15538.44,102295.2,25295.55
Walmart Supercenter #117 - San Francisco,43513.52,12210.6,66344.32,18966.64,109857.84,31177.25
Walmart Neighborhood Market #134 - Fresno,51133.44,14213.09,78774.31,23577.3,129907.75,37790.39
Walmart Supercenter #108 - San Diego,55056.68,14614.92,71663.16,20581.98,126719.84,35196.9
Walmart Supercenter #102 - Los Angeles,59695.71,16470.39,68749.26,20443.69,128444.97,36914.08
Walmart Supercenter #113 - San Jose,61296.24,15142.2,57692.11,20358.29,118988.35,35500.5
Walmart Neighborhood Market #135 - Sacramento,63669.85,17793.21,58169.53,16907.89,121839.38,34701.1
CO,,,,,,
Walmart Supercenter #119 - Denver,56302.33,16348.76,101576.24,30578.88,157878.57,46927.63
Walmart Neighborhood Market #139 - Colorado Springs,58848.7,18261.3,74927.74,22961.1,133776.44,41222.41
NM,,,,,,
Walmart Discount Store #132 - Albuquerque,79202.62,21947.97,80128.09,24817.78,159330.71,46765.75
NV,,,,,,
Walmart Supercenter #124 - Las Vegas,104944.81,31467.82,77599.08,23792.48,182543.89,55260.31
OR,,,,,,
Walmart Neighborhood Market #127 - Portland,37851.94,11014.97,53769.95,17967.8,91621.89,28982.77
WA,,,,,,
Walmart Supercenter #118 - Seattle,36292.71,9070.1,51167.0,14230.73,87459.71,23300.83
South,,,,,,
FL,,,,,,
Walmart Supercenter #110 - Jacksonville,39334.15,10047.45,62045.04,19512.14,101379.19,29559.59
Walmart Discount Store #143 - Miami,56345.18,15834.86,45443.99,14615.8,101789.17,30450.66
Walmart Supercenter #147 - Tampa,66008.65,20454.22,73864.38,23310.4,139873.03,43764.62
GA,,,,,,
Walmart Discount Store #137 - Atlanta,68938.36,18527.49,78028.98,24487.13,146967.34,43014.62
KY,,,,,,
Walmart Supercenter #128 - Louisville,53798.19,16289.96,67539.25,22555.45,121337.44,38845.41
LA,,,,,,
Walmart Neighborhood Market #148 - New Orleans,48228.59,12519.79,52990.28,15019.83,101218.87,27539.62
NC,,,,,,
Walmart Supercenter #115 - Charlotte,65079.04,18089.59,57135.56,15750.08,122214.6,33839.67
Walmart Neighborhood Market #141 - Raleigh,94465.07,22798.47,93805.19,26373.17,188270.26,49171.63
OK,,,,,,
Walmart Supercenter #120 - Oklahoma City,44953.91,11795.94,75189.31,20436.15,120143.22,32232.09
Walmart Discount Store #146 - Tulsa,47408.05,13106.18,61095.72,18313.52,108503.77,31419.69
TN,,,,,,
Walmart Supercenter #121 - Nashville,60924.33,18919.6,83602.05,25673.73,144526.38,44593.33
Walmart Discount Store #129 - Memphis,64639.98,20034.72,104234.81,27036.83,168874.79,47071.55
TX,,,,,,
Walmart Supercenter #107 - San Antonio,36584.28,8371.0,47228.76,12897.35,83813.04,21268.35
Walmart Supercenter #104 - Houston,51427.76,12860.31,66932.82,19207.18,118360.58,32067.49
Walmart Supercenter #111 - Austin,51917.4,13399.73,77082.98,19647.68,129000.38,33047.42
Walmart Supercenter #112 - Fort Worth,53208.06,15827.88,47999.84,14723.21,101207.9,30551.09
Walmart Supercenter #123 - El Paso,57325.58,14022.12,68637.2,19696.19,125962.78,33718.31
Walmart Supercenter #109 - Dallas,64313.75,17757.49,82569.7,22329.14,146883.45,40086.63
VA,,,,,,
Walmart Supercenter #142 - Virginia Beach,57134.74,13424.2,75845.02,25993.98,132979.76,39418.18
Grand Total,2803512.0,777260.96,3487497.64,1024531.45,6291009.64,1801792.42
