transaction_id,transaction_date,weekday,customer_id,store_id,product_id,quantity,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,unit_cost,gross_profit,margin_pct,payment_method,channel,promotion_applied,promotion_type,weather_conditions,holiday_flag,inventory_level,stockout_flag,forecasted_demand,actual_demand,forecast_error,return_flag,satisfaction_score
20230001,2023-01-30,Monday,21178,138,1011,1.0,836.44,0.0,836.44,0.0,836.44,618.67,217.77,0.2603534025154226,Gift Card,Mobile App,False,None,Cloudy,False,334,False,68,62,-6.0,False,4.0
20230002,2023-03-10,Friday,20138,119,1015,4.0,235.17,0.0,940.68,0.0,940.68,149.38,343.16,0.36479993196411103,EBT,Mobile App,False,None,Cloudy,False,376,False,136,181,45.0,False,4.0
20230003,2023-07-21,Friday,20561,115,1027,4.0,58.89,0.0,235.56,0.0,235.56,37.44,85.8,0.3642384105960265,Debit Card,Curbside Pickup,False,None,Stormy,False,315,False,224,197,-27.0,False,5.0
20230004,2024-04-08,Monday,20344,122,1043,6.0,118.73,0.0,712.38,0.0,712.38,75.88,257.1,0.3609028889076055,Cash,Online,False,None,Snowy,False,398,False,384,504,120.0,False,4.0
20230005,2023-11-14,Tuesday,20042,101,1010,4.0,413.35,0.22,1653.4,363.748,1289.652,261.42,243.972,0.18917661508686062,Credit Card,In-Store,True,Bundle Deal,Snowy,False,212,False,402,406,4.0,False,3.0
20230006,2023-03-06,Monday,21140,109,1045,4.0,214.56,0.28,858.24,240.3072,617.9328,159.92,-21.7472,-0.03519347087579734,Debit Card,In-Store,True,Bundle Deal,Snowy,False,355,False,395,349,-46.0,False,1.0
20230007,2024-01-31,Wednesday,20419,129,1030,1.0,836.93,0.0,836.93,0.0,836.93,569.19,267.74,0.3199072801787484,Digital Wallet,Online,False,None,Windy,False,146,False,231,181,-50.0,False,3.0
20230008,2023-08-09,Wednesday,20375,109,1001,4.0,677.24,0.0,2708.96,0.0,2708.96,419.73,1030.04,0.3802344811292894,EBT,Mobile App,False,None,Sunny,False,245,False,294,214,-80.0,False,5.0
20230009,2023-05-04,Thursday,21010,141,1018,2.0,325.9,0.15,651.8,97.77,554.03,198.14,157.75,0.28473187372524955,Gift Card,Curbside Pickup,True,BOGO,Cloudy,False,105,False,406,490,84.0,False,1.0
20230010,2024-05-30,Thursday,20732,120,1041,1.0,661.71,0.0,661.71,0.0,661.71,486.05,175.66,0.2654637227788609,Debit Card,Curbside Pickup,False,None,Windy,False,312,False,133,140,7.0,False,5.0
20230011,2023-06-06,Tuesday,20878,105,1043,2.0,113.17,0.0,226.34,0.0,226.34,75.88,74.58,0.32950428558805345,Digital Wallet,In-Store,False,None,Sunny,False,77,False,115,107,-8.0,False,2.0
20230012,2024-07-16,Tuesday,20249,104,1032,2.0,941.07,0.0,1882.14,0.0,1882.14,572.31,737.52,0.3918518282380695,Credit Card,Curbside Pickup,False,None,Sunny,False,519,False,422,399,-23.0,True,4.0
20230013,2024-07-08,Monday,20336,114,1018,4.0,342.06,0.0,1368.24,0.0,1368.24,198.14,575.68,0.420744898555809,EBT,In-Store,False,None,Snowy,False,344,False,424,322,-102.0,False,4.0
